x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
268 260        1854 274      284 326         1894 304    73.0
226 856        1922 822      284 812         1990 816    75.0
237 435        1979 436      302 464         2042 470    69.0
369 443        2234 467      302 464         2238 438    69.0
238 477        2236 462      302 464         2238 438    69.0
229 468        1970 474      302 464         2042 470    69.0
307 978        2488 901      306 904         2506 874    75.0
257 519        1945 519      306 568         1910 578    72.0
373 591        2014 592      306 568         1982 594    72.0
289 979        1977 942      306 904         1982 884    75.0
334 792        2289 757      328 766         2356 732    28.0
379 368        2506 375      330 396         2436 378    58.0
381 385        2463 324      330 396         2498 394    58.0
374 355        2663 289      330 396         2694 364    58.0
373 353        2666 289      330 396         2694 364    58.0
322 342        2171 318      330 396         2220 380    58.0
383 361        2062 328      330 396         2084 390    58.0
381 383        2475 323      330 396         2436 378    58.0
344 343        2204 309      330 396         2220 380    58.0
321 344        2171 318      330 396         2220 380    58.0
347 337        2626 403      330 396         2694 364    58.0
381 408        2508 368      330 396         2436 378    58.0
340 986        2028 1012      334 1046         2062 1054    60.0
284 1081        1937 1078      334 1046         1976 1066    60.0
286 1076        2604 1044      334 1046         2648 1006    60.0
326 330        1854 274      342 304         1894 304    32.0
343 629        1888 666      346 704         1934 716    76.0
286 756        1996 757      346 704         1934 716    76.0
420 708        1989 676      346 704         1934 716    76.0
304 773        2288 755      346 704         2356 732    76.0
282 754        1996 757      346 704         1934 716    76.0
427 698        2055 724      346 704         2112 700    76.0
267 715        2656 694      346 704         2612 686    76.0
400 892        2115 858      350 846         2154 876    73.0
404 890        2104 860      350 846         2070 874    73.0
388 782        2095 774      350 846         2158 816    73.0
409 889        2104 860      350 846         2070 874    73.0
329 910        2633 923      350 846         2686 878    73.0
401 1125        2066 1123      352 1146         2018 1144    48.0
363 1105        2034 1105      352 1146         2018 1144    48.0
314 1114        1981 1116      352 1146         2018 1144    48.0
303 1122        1970 1125      352 1146         2018 1144    48.0
376 1110        2040 1108      352 1146         2018 1144    48.0
356 1102        2028 1101      352 1146         2018 1144    48.0
323 1178        1991 1175      352 1146         2018 1144    48.0
361 1104        2034 1105      352 1146         2018 1144    48.0
358 1103        2028 1101      352 1146         2018 1144    48.0
306 1121        1973 1124      352 1146         2018 1144    48.0
345 282        2495 236      360 240         2522 268    48.0
346 283        2005 284      360 240         2024 240    48.0
318 224        1982 224      360 240         2024 240    48.0
318 223        1982 224      360 240         2024 240    48.0
316 231        1980 229      360 240         2024 240    48.0
385 454        2028 408      362 456         2042 470    20.0
313 980        2452 944      372 934         2398 900    71.0
345 1001        2029 1002      372 934         2068 936    71.0
362 1005        2043 1005      372 934         2068 936    71.0
321 983        2005 963      372 934         2068 936    71.0
429 1198        2129 1229      384 1258         2064 1246    74.0
421 1192        2092 1185      384 1258         2064 1246    74.0
416 1197        2114 1209      384 1258         2064 1246    74.0
334 842        2045 840      388 792         2080 776    75.0
338 1015        2024 1008      400 1042         2062 1054    73.0
341 1079        2014 1044      400 1042         1942 1014    73.0
422 1111        2340 1087      400 1042         2288 1038    73.0
463 1068        2603 1049      400 1042         2648 1006    73.0
323 1059        1993 1058      400 1042         1942 1014    73.0
334 1069        2011 1071      400 1042         2062 1054    73.0
426 563        2059 562      406 498         2104 502    68.0
425 432        2524 486      406 498         2446 508    68.0
443 635        2073 634      408 698         2044 708    75.0
421 626        2037 629      408 698         2044 708    75.0
464 649        2096 644      408 698         2112 700    75.0
463 646        2096 644      408 698         2112 700    75.0
417 778        2640 704      408 698         2568 728    75.0
373 625        2443 616      408 698         2456 692    75.0
464 649        2096 644      408 698         2112 700    75.0
462 644        2096 644      408 698         2112 700    75.0
409 663        2037 663      410 604         2044 604    55.0
448 643        2080 642      410 604         2044 604    55.0
408 664        2037 663      410 604         2044 604    55.0
442 645        2071 645      410 604         2044 604    55.0
455 623        2090 623      410 604         2044 604    55.0
440 564        2076 567      410 604         2044 604    55.0
451 641        2080 642      410 604         2044 604    55.0
444 642        2077 639      410 604         2044 604    55.0
443 1150        2111 1144      412 1140         2156 1112    32.0
384 1159        2055 1157      412 1140         2104 1144    32.0
406 1104        2069 1101      412 1140         2104 1144    32.0
403 1104        2071 1098      412 1140         2104 1144    32.0
374 345        2862 411      432 384         2872 340    72.0
494 275        2409 248      432 298         2434 316    70.0
440 454        2243 452      432 384         2220 380    72.0
430 308        2391 326      432 384         2436 378    72.0
428 461        2145 406      432 384         2220 380    72.0
423 233        2446 272      432 298         2492 332    70.0
469 321        2161 325      432 384         2220 380    72.0
366 294        2022 294      432 298         2088 316    70.0
363 374        2041 432      432 384         2084 390    72.0
361 379        2648 299      432 384         2694 364    72.0
428 223        2142 217      432 298         2166 268    70.0
367 403        2514 434      432 384         2562 398    72.0
448 228        2448 270      432 298         2492 332    70.0
468 238        1845 278      432 298         1894 304    70.0
440 228        2448 270      432 298         2492 332    70.0
413 250        2099 232      452 192         2158 202    76.0
451 463        2400 390      456 442         2426 446    24.0
455 469        2081 415      456 442         2042 470    24.0
451 915        2192 899      458 878         2154 876    36.0
399 522        2038 524      466 516         2002 534    73.0
389 505        2029 502      466 516         2104 502    73.0
499 849        2134 833      468 806         2080 776    59.0
408 782        2219 723      468 806         2218 796    59.0
496 850        2148 826      468 806         2218 796    59.0
405 1196        2089 1199      470 1158         2104 1144    76.0
411 1201        2089 1199      470 1158         2104 1144    76.0
432 1218        2107 1196      470 1158         2104 1144    76.0
437 1222        2089 1199      470 1158         2104 1144    76.0
441 1226        2135 1231      470 1158         2194 1184    76.0
415 1205        2089 1199      470 1158         2104 1144    76.0
493 1068        2144 1066      476 1040         2114 1022    35.0
501 1065        2340 1087      476 1040         2288 1038    35.0
489 1070        2144 1066      476 1040         2114 1022    35.0
517 404        2723 432      478 344         2694 364    72.0
519 408        1936 423      478 344         1960 364    72.0
537 663        2144 648      484 696         2112 700    62.0
461 752        2084 777      484 696         2044 708    62.0
436 664        2064 665      484 696         2112 700    62.0
431 661        2059 663      484 696         2112 700    62.0
432 662        2059 663      484 696         2112 700    62.0
533 662        2144 648      484 696         2112 700    62.0
488 642        2166 656      490 578         2210 604    60.0
426 592        2061 589      490 578         2124 558    60.0
486 642        2165 642      490 578         2210 604    60.0
508 1046        2156 1045      496 978         2152 972    73.0
510 1054        2672 1053      496 978         2648 1006    73.0
500 907        2141 906      496 978         2152 972    73.0
528 1279        2241 1289      510 1334         2200 1338    56.0
526 927        2162 912      514 854         2154 876    73.0
540 281        1714 240      524 206         1790 214    72.0
563 283        2891 304      524 266         2898 282    47.0
456 211        2134 206      524 206         2096 190    72.0
457 208        2134 206      524 206         2096 190    72.0
524 215        2151 211      524 266         2166 268    47.0
477 733        2115 750      528 792         2158 816    73.0
492 727        2443 804      528 792         2514 810    73.0
492 726        2106 753      528 792         2158 816    73.0
580 737        2375 759      528 792         2306 766    73.0
583 846        2364 883      528 792         2344 816    73.0
567 857        2385 867      528 792         2344 816    73.0
464 815        2443 804      528 792         2514 810    73.0
597 679        2409 662      532 638         2332 656    76.0
461 670        2098 668      532 638         2150 626    76.0
458 664        2098 668      532 638         2150 626    76.0
489 781        2116 717      534 730         2044 708    64.0
558 793        2306 780      534 730         2356 732    64.0
556 666        2731 686      534 730         2718 754    64.0
580 1174        2322 1132      536 1116         2388 1116    73.0
512 296        2062 329      536 366         2084 390    75.0
505 1043        2661 1080      536 1116         2712 1082    73.0
481 316        2168 322      536 366         2220 380    75.0
613 1116        2361 1120      536 1116         2284 1106    73.0
573 299        2866 328      536 366         2932 362    75.0
483 1058        2133 1057      536 1116         2156 1112    73.0
580 1169        2322 1132      536 1116         2388 1116    73.0
606 1230        2338 1209      544 1244         2272 1244    69.0
478 1232        2123 1229      544 1244         2064 1246    69.0
473 1252        2207 1264      544 1244         2272 1244    69.0
585 1191        2316 1238      544 1244         2384 1222    69.0
615 1226        2342 1262      544 1244         2272 1244    69.0
620 478        2142 439      548 508         2104 502    75.0
503 570        2314 536      548 508         2382 504    75.0
587 570        2453 530      548 508         2382 504    75.0
627 505        2355 526      548 508         2318 502    75.0
480 525        2516 523      548 508         2446 508    75.0
521 583        2328 557      548 508         2382 504    75.0
624 525        2445 582      548 508         2446 508    75.0
569 500        2445 521      556 578         2392 566    75.0
607 528        2425 504      556 578         2392 566    75.0
564 502        2413 505      556 578         2392 566    75.0
550 499        2128 498      556 578         2124 558    75.0
508 951        2749 926      560 898         2680 938    71.0
504 853        2144 834      560 898         2154 876    71.0
563 830        2752 897      560 898         2686 878    71.0
623 883        2763 897      560 898         2686 878    71.0
502 854        2139 838      560 898         2154 876    71.0
576 1102        2324 1105      562 1060         2288 1038    46.0
602 1072        2356 1081      562 1060         2288 1038    46.0
574 1110        2025 1065      562 1060         1976 1066    46.0
594 1021        2365 1018      562 1060         2288 1038    46.0
603 1186        2338 1205      570 1186         2292 1182    39.0
605 1322        2323 1321      578 1296         2306 1292    36.0
606 1321        2323 1321      578 1296         2306 1292    36.0
611 1311        2330 1308      578 1296         2366 1280    36.0
619 1044        2318 1031      594 990         2360 988    65.0
568 1043        2318 1031      594 990         2360 988    65.0
656 957        2303 957      594 990         2360 988    65.0
538 1010        1791 1042      594 990         1820 998    65.0
541 1016        2707 959      594 990         2746 992    65.0
566 1042        2318 1031      594 990         2360 988    65.0
580 1049        2339 1046      594 990         2360 988    65.0
652 1018        2707 959      594 990         2746 992    65.0
673 277        2366 277      598 290         2434 316    76.0
540 242        2674 318      598 290         2702 272    76.0
672 292        2365 290      598 290         2434 316    76.0
542 340        1648 340      598 290         1690 282    76.0
563 353        2499 303      598 290         2522 268    76.0
559 356        2329 352      598 290         2288 300    76.0
654 332        2345 330      598 290         2288 300    76.0
559 352        2492 296      598 290         2522 268    76.0
521 273        2216 276      598 290         2166 268    76.0
654 332        2345 330      598 290         2288 300    76.0
578 368        2379 296      598 290         2338 264    76.0
670 278        1780 277      598 290         1752 276    76.0
563 352        2499 303      598 290         2522 268    76.0
542 239        2674 318      598 290         2702 272    76.0
673 292        2365 290      598 290         2434 316    76.0
567 355        2499 303      598 290         2522 268    76.0
612 645        2232 673      600 712         2274 688    71.0
656 750        2252 750      600 712         2190 734    71.0
673 703        2462 749      600 712         2504 732    71.0
654 762        2288 753      600 712         2356 732    71.0
552 425        2397 492      602 444         2426 446    54.0
618 306        2866 328      604 380         2932 362    73.0
527 398        2367 400      604 380         2436 378    73.0
532 396        2367 400      604 380         2436 378    73.0
668 1412        2366 1425      610 1368         2326 1364    73.0
622 1436        2343 1431      610 1368         2326 1364    73.0
562 1421        2380 1412      610 1368         2326 1364    73.0
594 1293        2314 1288      610 1368         2326 1364    73.0
622 1435        2343 1431      610 1368         2326 1364    73.0
595 1291        2314 1288      610 1368         2326 1364    73.0
627 1291        2344 1288      610 1368         2326 1364    73.0
657 1422        2380 1412      610 1368         2326 1364    73.0
626 1291        2344 1288      610 1368         2326 1364    73.0
594 1290        2314 1288      610 1368         2326 1364    73.0
590 1438        2307 1437      610 1368         2326 1364    73.0
676 1341        2388 1334      610 1368         2326 1364    73.0
575 628        2671 558      614 614         2618 594    46.0
550 473        2458 431      614 522         2446 508    74.0
678 479        2510 476      614 522         2446 508    74.0
655 601        1747 603      614 614         1692 630    46.0
550 492        2374 496      614 522         2446 508    74.0
662 600        2794 621      614 614         2794 586    46.0
554 572        2453 530      614 522         2382 504    74.0
646 581        2329 530      614 614         2322 594    46.0
569 577        2398 573      614 522         2382 504    74.0
674 481        2344 445      614 522         2382 504    74.0
548 492        2374 496      614 522         2446 508    74.0
