x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
940 579        2820 579      1008 590         2856 586    72.0
942 556        2682 562      1008 590         2734 624    72.0
987 658        2181 661      1008 590         2210 604    72.0
969 651        2682 679      1008 590         2734 624    72.0
952 503        2685 505      1016 484         2618 486    70.0
955 503        2688 498      1016 484         2618 486    70.0
1045 300        2636 285      1030 334         2594 348    32.0
1031 1049        2676 1047      1038 1080         2712 1082    27.0
1002 932        2647 942      1052 882         2686 878    75.0
993 928        2664 950      1052 882         2686 878    75.0
1126 862        2267 897      1052 882         2216 860    75.0
1130 872        2772 874      1052 882         2808 914    75.0
1016 953        2677 949      1052 882         2686 878    75.0
1119 856        2276 886      1052 882         2216 860    75.0
1014 819        1910 823      1052 882         1880 886    75.0
991 934        2572 915      1052 882         2594 874    75.0
1121 847        2763 912      1052 882         2736 914    75.0
1106 932        2743 931      1052 882         2686 878    75.0
1092 643        1799 642      1068 686         1834 688    53.0
1104 643        1800 646      1068 686         1834 688    53.0
1099 650        1799 642      1068 686         1834 688    53.0
1100 645        1800 646      1068 686         1834 688    53.0
1141 810        2784 833      1076 822         2828 796    71.0
1044 891        2576 832      1076 822         2514 810    71.0
1119 882        2770 816      1076 822         2828 796    71.0
1047 755        2115 750      1076 822         2158 816    71.0
1028 766        2103 756      1076 822         2158 816    71.0
1139 855        2775 882      1076 822         2764 814    71.0
1028 764        2106 753      1076 822         2158 816    71.0
1038 760        2106 754      1076 822         2158 816    71.0
1091 231        2782 252      1080 296         2816 294    65.0
1164 606        2844 545      1086 606         2856 586    75.0
1064 672        2563 616      1086 606         2618 594    75.0
1077 674        2829 620      1086 606         2856 586    75.0
1157 638        2206 657      1086 606         2150 626    75.0
1147 564        2849 547      1086 606         2856 586    75.0
1111 955        2746 954      1088 934         2680 938    28.0
1110 956        2746 954      1088 934         2680 938    28.0
1113 956        2748 954      1088 934         2680 938    28.0
1099 944        2735 944      1114 992         2746 992    54.0
1073 1018        2707 1020      1114 992         2746 992    54.0
1083 1031        2718 1032      1114 992         2746 992    54.0
1152 1026        2788 1022      1114 992         2746 992    54.0
1070 1015        2703 1018      1114 992         2746 992    54.0
1067 1012        2699 1011      1114 992         2746 992    54.0
1105 943        2740 942      1114 992         2746 992    54.0
1101 945        2737 944      1114 992         2746 992    54.0
1126 944        2762 945      1114 992         2746 992    54.0
1148 956        2781 955      1114 992         2746 992    54.0
1066 1012        2697 1012      1114 992         2746 992    54.0
1101 944        2737 944      1114 992         2746 992    54.0
1062 1021        2696 1025      1114 992         2746 992    54.0
1084 948        2393 936      1114 992         2360 988    54.0
1107 942        2740 942      1114 992         2746 992    54.0
1073 956        2323 936      1114 992         2360 988    54.0
1109 934        2744 932      1114 992         2746 992    54.0
1084 948        2328 932      1114 992         2360 988    54.0
1131 944        2323 936      1114 992         2360 988    54.0
1076 953        2323 936      1114 992         2360 988    54.0
1143 372        2829 373      1116 346         2758 372    35.0
1139 364        2823 368      1116 346         2758 372    35.0
1143 370        2827 372      1116 346         2758 372    35.0
1138 655        2796 654      1142 704         2798 704    44.0
1166 668        2825 671      1142 704         2798 704    44.0
1180 692        2824 675      1142 704         2798 704    44.0
1148 663        2807 662      1142 704         2798 704    44.0
1121 672        2776 672      1142 704         2798 704    44.0
1172 679        2824 675      1142 704         2798 704    44.0
1146 753        2797 752      1142 704         2798 704    44.0
1098 690        2750 690      1142 704         2798 704    44.0
1174 682        2824 675      1142 704         2798 704    44.0
1167 431        2041 432      1164 394         2084 390    39.0
1170 358        2863 356      1164 394         2932 362    39.0
1171 358        2863 356      1164 394         2932 362    39.0
1136 361        2823 368      1164 394         2758 372    39.0
1115 909        2756 893      1184 906         2686 878    67.0
1203 402        2881 404      1192 338         2872 340    70.0
1229 392        2733 425      1192 338         2694 364    70.0
1128 347        2809 352      1192 338         2872 340    70.0
1182 411        2693 442      1192 338         2694 364    70.0
1127 348        2809 352      1192 338         2872 340    70.0
1245 283        2942 295      1192 338         2932 362    70.0
1126 317        2809 318      1192 338         2872 340    70.0
1183 498        2665 517      1244 460         2664 446    73.0
1206 393        2715 410      1244 460         2664 446    73.0
1186 503        2665 517      1244 460         2664 446    73.0
1206 390        2724 414      1244 460         2664 446    73.0
584 1183        2316 1238      544 1244         2384 1222    69.0
