Left             Right             Radius               m_color
138  542       1850  538      76      (48, 125, 48)      (45, 96, 46)
256  630       1942  632      71      (214, 216, 226)      (183, 177, 196)
278  880       1944  884      46      (179, 96, 54)      (168, 86, 58)
280  776       2312  788      70      (207, 206, 209)      (181, 167, 188)
380  1064       2006  1064      58      (47, 83, 46)      (52, 78, 50)
412  314       2090  320      50      (177, 106, 58)      (163, 88, 62)
442  1150       2052  1146      62      (190, 184, 178)      (189, 185, 174)
502  698       2242  700      62      (166, 77, 51)      (156, 73, 53)
504  414       2544  392      64      (227, 221, 231)      (194, 197, 204)
524  310       2956  320      48      (228, 225, 233)      (46, 114, 47)
536  566       2788  606      63      (187, 191, 192)      (195, 179, 187)
586  996       2262  996      65      (44, 90, 44)      (47, 84, 47)
610  244       2252  242      38      (224, 223, 222)      (187, 183, 197)
624  618       2368  638      76      (177, 168, 191)      (203, 192, 209)
640  168       2294  160      66      (73, 130, 74)      (70, 108, 73)
650  1196       2288  1194      48      (152, 83, 61)      (145, 86, 62)
672  468       2280  468      35      (121, 61, 54)      (150, 69, 53)
678  630       2368  638      75      (179, 177, 177)      (204, 193, 209)
680  560       2396  538      73      (198, 185, 205)      (177, 167, 191)
706  240       2252  242      59      (199, 200, 202)      (170, 167, 184)
742  436       2436  428      76      (59, 99, 54)      (59, 95, 61)
794  962       2410  980      52      (51, 81, 48)      (85, 103, 80)
810  634       2368  638      51      (220, 207, 220)      (229, 215, 228)
826  566       2466  578      73      (209, 199, 210)      (177, 170, 185)
830  286       2486  282      58      (231, 226, 236)      (232, 225, 240)
866  422       2594  450      70      (210, 209, 215)      (204, 199, 219)
882  718       2572  736      71      (188, 161, 175)      (208, 192, 203)
882  718       2572  736      71      (188, 161, 175)      (208, 192, 203)
916  1332       2588  1336      71      (71, 123, 66)      (78, 134, 73)
918  1206       2580  1220      73      (201, 169, 156)      (200, 197, 190)
924  558       2544  554      51      (47, 89, 46)      (49, 84, 49)
930  1148       2638  1148      52      (171, 85, 52)      (167, 91, 53)
938  254       2588  244      49      (182, 124, 67)      (175, 116, 78)
980  724       2466  708      66      (223, 205, 215)      (184, 150, 154)
1026  656       2786  666      70      (225, 213, 229)      (191, 182, 197)
1060  1072       2692  1066      39      (168, 82, 52)      (153, 104, 83)
1096  784       2852  756      75      (165, 171, 169)      (218, 216, 225)
1160  586       2884  564      61      (166, 90, 60)      (170, 104, 66)
1208  648       2846  634      41      (179, 102, 57)      (126, 86, 78)
1220  744       2852  756      55      (225, 217, 225)      (230, 227, 232)
1272  340       2956  320      73      (66, 125, 66)      (64, 123, 67)
