x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
979 1246        2631 1226      918 1206         2580 1220    73.0
977 1250        2631 1226      918 1206         2580 1220    73.0
877 560        2494 553      924 558         2544 554    51.0
888 528        2508 520      924 558         2544 554    51.0
890 525        2508 520      924 558         2544 554    51.0
893 523        2508 520      924 558         2544 554    51.0
950 1201        2653 1200      930 1148         2638 1148    52.0
978 1151        2684 1141      930 1148         2638 1148    52.0
966 1177        2676 1172      930 1148         2638 1148    52.0
971 1168        2676 1172      930 1148         2638 1148    52.0
885 1166        2585 1152      930 1148         2638 1148    52.0
975 1183        2686 1175      930 1148         2638 1148    52.0
928 202        2612 193      938 254         2588 244    49.0
896 230        2551 223      938 254         2532 262    49.0
961 291        2613 283      938 254         2588 244    49.0
916 716        2515 714      980 724         2466 708    66.0
918 691        2519 691      980 724         2572 736    66.0
918 693        2512 690      980 724         2466 708    66.0
925 687        2508 682      980 724         2466 708    66.0
927 687        2506 682      980 724         2466 708    66.0
1027 589        2776 618      1026 656         2786 666    70.0
1005 593        2739 618      1026 656         2742 690    70.0
1094 1086        2726 1077      1060 1072         2692 1066    39.0
1082 1095        2711 1091      1060 1072         2692 1066    39.0
1093 1087        2726 1077      1060 1072         2692 1066    39.0
991 593        2435 607      1060 614         2368 638    69.0
1095 1070        2725 1063      1060 1072         2692 1066    39.0
1116 714        2787 707      1096 784         2852 756    75.0
1157 733        2780 719      1096 784         2852 756    75.0
1153 740        2787 707      1096 784         2852 756    75.0
1202 716        2760 754      1138 702         2742 690    63.0
1120 546        2841 534      1160 586         2884 564    61.0
1124 542        2843 532      1160 586         2884 564    61.0
1126 541        2848 528      1160 586         2884 564    61.0
1243 659        2884 647      1208 648         2846 634    41.0
1230 677        2874 661      1208 648         2846 634    41.0
1163 720        2782 716      1220 744         2852 756    55.0
1167 714        2782 716      1220 744         2852 756    55.0
1285 407        2970 389      1272 340         2956 320    73.0
1295 403        2980 386      1272 340         2956 320    73.0
1289 405        2970 389      1272 340         2956 320    73.0
1205 308        2882 297      1272 340         2956 320    73.0
1292 403        2970 389      1272 340         2956 320    73.0
1320 400        3015 373      1272 340         2956 320    73.0
1300 401        2985 383      1272 340         2956 320    73.0
1206 353        3015 373      1272 340         2956 320    73.0
