  x      y         
1075   641     33
694   1136     79
718   993     108
747   1050     20
732   920     110
644   812     92
732   986     91
729   915     110
682   996     109
770   813     15
705   818     4
1106   725     112
666   857     102
662   856     106
1054   880     167
859   1146     9
626   657     66
346   943     62
1099   1038     117
700   915     13
669   773     106
688   826     60
680   1136     47
1194   899     175
705   817     8
380   656     84
1170   747     181
1087   643     133
384   655     84
1054   884     177
899   815     19
502   430     122
674   800     93
516   821     5
499   1101     33
560   1006     72
878   557     165
644   811     94
844   805     7
689   377     118
628   657     69
1156   1031     132
672   603     92
748   676     54
780   546     14
1098   1114     86
1084   904     155
1053   887     22
702   799     126
769   1029     109
808   675     11
860   635     163
774   1026     29
1075   641     33
661   834     104
649   919     55
815   517     64
880   1122     102
673   602     89
1079   906     162
328   944     19
718   995     110
668   775     109
634   656     80
829   647     139
750   666     132
734   1117     10
800   854     154
1109   475     196
591   1132     80
881   706     11
1097   1114     88
715   1076     98
882   696     11
1163   985     143
1145   1084     243
704   613     124
426   666     97
750   668     77
766   1032     110
750   674     9
904   834     55
623   652     55
674   795     95
375   660     84
1088   1133     49
853   1156     23
704   599     127
689   912     21
701   574     19
763   797     132
506   1048     57
1111   596     70
688   375     116
768   636     118
753   903     119
1124   866     182
728   903     121
668   779     108
514   806     55
641   1065     23
1096   363     192
705   793     125
488   1082     54
1164   1093     127
808   757     132
696   808     135
1004   310     151
775   1029     26
674   869     71
1169   619     72
883   791     141
779   545     10
830   650     138
710   829     129
686   969     62
878   788     138
801   854     155
1107   474     197
749   662     118
719   1001     110
716   801     126
618   592     8
1086   901     155
530   1016     241
1176   1100     144
855   678     141
657   833     106
1110   899     158
783   570     12
776   636     120
676   855     72
680   746     70
660   1153     139
661   862     108
669   784     102
1123   873     38
698   388     134
799   1131     41
1150   863     105
774   974     98
753   640     117
1149   1192     141
541   779     99
761   645     113
706   968     83
1051   875     169
744   679     13
937   888     22
1169   621     77
1090   1155     48
537   780     91
519   1061     4
701   829     128
685   774     65
671   853     97
566   587     23
706   966     84
707   1138     94
691   1019     111
1157   507     197
1156   1081     130
707   971     81
1087   730     102
799   660     43
843   637     157
682   1014     110
857   641     162
1046   854     170
344   946     57
520   839     6
666   790     108
870   691     79
616   593     28
1052   829     8
415   994     49
927   697     122
547   782     101
686   744     40
1050   866     169
686   827     175
532   1016     53
1068   1059     252
923   1160     35
775   635     120
853   641     161
852   1158     2
1096   538     73
1094   1151     60
619   589     10
655   863     105
1129   1110     79
754   964     88
1048   887     18
855   635     161
635   909     99
721   966     84
1092   1116     85
663   822     4
1094   719     98
694   743     50
1050   869     169
668   1072     225
589   1126     3
1005   308     148
844   642     157
712   1024     110
748   659     116
716   806     133
688   729     21
620   593     107
331   946     247
818   664     28
879   560     164
583   789     106
686   764     59
673   837     87
566   574     18
1134   924     163
1132   924     163
737   1070     100
847   637     160
643   914     73
839   643     155
693   597     128
1126   1110     77
843   639     157
875   1121     111
703   960     87
1089   571     190
820   738     141
869   641     165
821   1039     91
763   558     162
736   804     137
1095   1145     8
763   636     120
728   972     84
796   867     88
730   338     153
1134   546     195
1086   359     190
765   903     126
356   1048     58
656   885     69
1089   1157     45
773   762     124
668   789     102
1142   868     101
1087   570     191
656   858     106
778   783     102
670   829     100
1146   1070     241
667   798     103
799   769     21
627   636     82
533   782     90
767   557     164
535   1016     61
722   1071     96
699   378     125
675   863     76
340   945     55
670   1070     57
770   1130     41
895   808     134
771   1131     40
595   831     18
684   1015     110
669   1075     35
700   739     75
800   1002     95
675   867     74
1142   1006     127
333   943     248
1130   479     196
839   514     158
695   809     137
405   974     48
777   574     147
704   1028     113
425   665     98
569   592     30
886   862     54
659   845     105
639   1171     19
354   1047     60
1090   513     131
800   749     20
637   1050     86
667   849     99
1088   570     191
822   738     142
732   1069     98
762   638     118
869   698     61
775   634     121
650   924     36
560   995     66
638   1064     57
696   789     122
617   812     123
714   1021     108
696   583     129
845   679     118
1129   1036     132
655   844     107
631   1058     75
530   1109     59
534   1107     56
1133   1189     139
688   967     64
645   1055     16
721   961     85
740   904     122
899   1178     26
1156   1192     143
738   1082     39
532   1108     57
702   1026     110
538   1014     63
768   642     114
755   637     117
687   745     48
1105   589     203
783   821     30
1104   591     191
848   639     160
849   854     32
851   883     123
864   921     103
647   1099     61
656   1153     50
798   1002     94
777   567     134
652   1104     67
733   1065     95
532   787     87
775   1131     40
702   954     84
639   1064     41
682   762     48
855   854     109
1163   970     144
736   1047     97
723   563     151
794   533     18
682   863     172
606   1105     85
663   1161     42
678   839     79
719   1037     102
648   1100     60
537   1017     64
1068   773     139
1129   1036     132
567   962     90
675   775     96
406   977     46
794   535     21
700   398     123
913   701     87
670   780     102
383   658     85
915   699     94
1196   910     173
668   844     98
599   816     55
719   804     128
671   1068     49
696   918     10
762   1035     108
1194   1142     36
526   1110     60
648   1059     3
810   749     157
1173   867     107
807   1120     51
870   694     63
719   898     1
683   774     54
1149   994     248
722   707     23
687   755     58
1145   934     55
1007   308     147
1146   1012     253
497   1046     49
1207   671     192
681   769     47
687   370     112
537   1106     56
856   637     161
613   1101     0
885   797     6
1145   928     53
676   744     74
654   869     103
644   1057     13
738   825     128
575   782     110
543   1045     76
1077   363     189
658   1067     82
754   558     155
770   555     163
