x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
544 996        2064 998      580 1048         2100 1046    58.0
519 1061        2038 1063      580 1048         2100 1046    58.0
635 1058        2156 1061      580 1048         2100 1046    58.0
637 1050        2158 1052      580 1048         2100 1046    58.0
613 1101        2133 1105      580 1048         2148 1138    58.0
638 1064        2159 1068      580 1048         2100 1046    58.0
640 1038        2161 1041      580 1048         2100 1046    58.0
576 567        2097 564      592 586         2114 584    29.0
566 587        2087 584      592 586         2114 584    29.0
588 617        2108 614      592 586         2114 584    29.0
566 574        2087 571      592 586         2114 584    29.0
613 608        2134 604      592 586         2114 584    29.0
569 592        2090 589      592 586         2114 584    29.0
577 567        2097 564      592 586         2114 584    29.0
614 559        2137 557      592 586         2114 584    29.0
618 592        2140 589      592 586         2114 584    29.0
589 1126        2110 1130      626 1134         2148 1138    41.0
654 1170        2175 1174      626 1134         2148 1138    41.0
584 1119        2104 1122      626 1134         2148 1138    41.0
618 1179        2139 1183      626 1134         2148 1138    41.0
593 1165        2121 1176      626 1134         2148 1138    41.0
591 1132        2111 1135      626 1134         2148 1138    41.0
663 1161        2175 1174      626 1134         2148 1138    41.0
654 1110        2174 1113      626 1134         2148 1138    41.0
648 1174        2173 1176      626 1134         2148 1138    41.0
662 1127        2183 1131      626 1134         2148 1138    41.0
671 1143        2193 1147      626 1134         2148 1138    41.0
626 1171        2147 1175      626 1134         2148 1138    41.0
626 1087        2147 1091      626 1134         2148 1138    41.0
661 834        2182 833      630 840         2228 860    34.0
641 877        2161 877      630 840         2146 844    34.0
655 863        2176 862      630 840         2228 860    34.0
651 820        2172 819      630 840         2146 844    34.0
654 869        2175 869      630 840         2228 860    34.0
662 856        2184 855      630 840         2146 844    34.0
617 812        2137 811      630 840         2146 844    34.0
657 833        2178 833      630 840         2228 860    34.0
656 858        2177 858      630 840         2228 860    34.0
648 864        2169 864      630 840         2146 844    34.0
636 1035        2157 1038      636 988         2154 990    45.0
674 977        2195 979      636 988         2154 990    45.0
657 950        2178 951      636 988         2154 990    45.0
586 999        2106 1002      636 988         2154 990    45.0
628 946        2149 948      636 988         2154 990    45.0
653 1032        2174 1035      636 988         2154 990    45.0
635 1036        2156 1039      636 988         2154 990    45.0
643 904        2164 904      672 942         2192 908    42.0
719 1037        2241 1040      674 1074         2250 1012    61.0
726 1041        2248 1044      674 1074         2250 1012    61.0
713 1127        2235 1131      674 1074         2226 1100    61.0
714 1034        2236 1037      674 1074         2250 1012    61.0
641 1020        2162 1022      674 1074         2100 1046    61.0
712 1033        2234 1035      674 1074         2250 1012    61.0
660 598        2182 594      688 656         2208 654    59.0
672 603        2194 599      688 656         2208 654    59.0
627 666        2148 663      688 656         2208 654    59.0
727 701        2249 698      688 656         2208 654    59.0
623 652        2144 649      688 656         2208 654    59.0
627 636        2148 633      688 656         2208 654    59.0
628 657        2149 654      688 656         2208 654    59.0
722 1071        2244 1074      698 1104         2226 1100    37.0
667 1112        2189 1115      698 1104         2148 1138    37.0
715 1076        2237 1079      698 1104         2226 1100    37.0
690 1070        2212 1073      698 1104         2226 1100    37.0
652 938        2173 939      702 956         2226 952    48.0
674 995        2195 997      702 956         2154 990    48.0
745 940        2269 942      702 956         2226 952    48.0
653 842        2174 841      702 862         2228 860    48.0
754 964        2277 966      702 956         2226 952    48.0
656 885        2177 885      702 862         2228 860    48.0
728 972        2251 974      708 990         2250 1012    30.0
764 759        2287 757      722 784         2240 780    51.0
773 775        2296 773      722 784         2240 780    51.0
764 814        2288 812      722 784         2240 780    51.0
774 775        2297 773      722 784         2240 780    51.0
687 817        2208 816      722 784         2228 860    51.0
677 819        2199 818      722 784         2240 780    51.0
688 824        2209 823      722 784         2240 780    51.0
686 820        2208 819      722 784         2240 780    51.0
764 383        2287 382      730 372         2254 372    37.0
767 378        2289 378      730 372         2254 372    37.0
747 332        2270 333      730 372         2254 372    37.0
676 765        2198 763      734 756         2258 752    54.0
753 706        2276 704      734 756         2258 752    54.0
680 746        2201 744      734 756         2258 752    54.0
747 705        2269 701      734 756         2258 752    54.0
800 854        2324 853      736 846         2348 866    61.0
790 871        2314 871      736 846         2348 866    61.0
796 864        2320 864      736 846         2348 866    61.0
728 903        2250 904      736 846         2228 860    61.0
791 1008        2315 1011      756 1016         2282 1010    41.0
749 975        2272 977      756 1016         2226 952    41.0
778 984        2301 986      756 1016         2282 1010    41.0
741 983        2264 985      756 1016         2226 952    41.0
837 1098        2361 1102      786 1076         2310 1078    52.0
818 1121        2341 1126      786 1076         2310 1078    52.0
828 731        2352 728      786 710         2316 728    47.0
796 1121        2320 1124      786 1076         2310 1078    52.0
743 1037        2266 1041      786 1076         2310 1078    52.0
827 689        2351 686      786 710         2376 662    47.0
824 1033        2361 1053      786 1076         2310 1078    52.0
837 1049        2341 1030      786 1076         2310 1078    52.0
787 1122        2310 1126      786 1076         2310 1078    52.0
819 1028        2341 1030      786 1076         2310 1078    52.0
736 1058        2258 1061      786 1076         2310 1078    52.0
819 1042        2343 1045      786 1076         2310 1078    52.0
799 1020        2323 1023      786 1076         2310 1078    52.0
806 1028        2330 1031      786 1076         2310 1078    52.0
733 1065        2255 1068      786 1076         2310 1078    52.0
799 769        2323 767      806 800         2330 798    34.0
801 832        2325 831      806 800         2330 798    34.0
809 836        2333 835      806 800         2330 798    34.0
826 820        2351 819      806 800         2330 798    34.0
828 821        2352 820      806 800         2330 798    34.0
780 781        2304 779      806 800         2330 798    34.0
787 556        2310 552      830 556         2354 552    46.0
869 523        2393 520      830 556         2354 552    46.0
846 603        2370 599      830 556         2354 552    46.0
879 560        2403 557      830 556         2354 552    46.0
878 564        2402 561      830 556         2354 552    46.0
851 592        2375 588      830 556         2354 552    46.0
839 514        2362 511      830 556         2354 552    46.0
861 530        2385 527      830 556         2354 552    46.0
876 539        2400 535      830 556         2354 552    46.0
859 522        2383 519      830 556         2354 552    46.0
815 517        2338 514      830 556         2354 552    46.0
794 535        2317 531      830 556         2354 552    46.0
873 578        2398 575      830 556         2354 552    46.0
876 536        2400 533      830 556         2354 552    46.0
832 653        2356 649      850 666         2354 618    27.0
839 643        2364 640      850 666         2354 618    27.0
848 644        2373 640      850 666         2354 618    27.0
818 664        2342 661      850 666         2376 662    27.0
869 698        2394 695      854 702         2376 662    21.0
839 840        2363 839      868 826         2348 866    36.0
834 844        2358 842      868 826         2348 866    36.0
860 1157        2384 1161      888 1150         2412 1154    32.0
920 1168        2445 1172      888 1150         2412 1154    32.0
911 1178        2439 1179      888 1150         2412 1154    32.0
910 1136        2435 1140      888 1150         2412 1154    32.0
913 1177        2439 1179      888 1150         2412 1154    32.0
889 1178        2413 1181      888 1150         2412 1154    32.0
859 1146        2383 1150      888 1150         2412 1154    32.0
880 1122        2405 1126      888 1150         2412 1154    32.0
911 1121        2439 1128      888 1150         2412 1154    32.0
915 1143        2440 1147      888 1150         2412 1154    32.0
864 1178        2390 1183      888 1150         2412 1154    32.0
924 932        2450 933      894 898         2420 898    41.0
915 858        2441 857      894 898         2420 898    41.0
934 918        2461 919      894 898         2420 898    41.0
860 929        2384 929      894 898         2420 898    41.0
883 942        2408 943      894 898         2420 898    41.0
882 861        2407 861      894 898         2420 898    41.0
849 889        2374 889      894 898         2420 898    41.0
921 919        2442 926      894 898         2420 898    41.0
873 697        2398 695      900 678         2424 676    29.0
881 697        2406 694      900 678         2424 676    29.0
904 646        2429 643      900 678         2424 676    29.0
879 664        2404 660      900 678         2424 676    29.0
898 702        2424 700      900 678         2424 676    29.0
891 710        2416 707      900 678         2424 676    29.0
1089 571        2613 569      1058 600         2582 598    48.0
1111 596        2635 595      1058 600         2582 598    48.0
1088 556        2611 555      1058 600         2582 598    48.0
1075 557        2600 556      1058 600         2582 598    48.0
1132 312        2652 317      1072 300         2592 304    63.0
1073 241        2593 247      1072 300         2592 304    63.0
1091 242        2611 248      1072 300         2592 304    63.0
1086 359        2608 362      1072 300         2592 304    63.0
1007 308        2529 312      1072 300         2592 304    63.0
1054 884        2581 885      1088 860         2614 864    43.0
1124 867        2651 867      1088 860         2614 864    43.0
1049 865        2576 865      1088 860         2614 864    43.0
1074 895        2601 895      1088 860         2614 864    43.0
1051 844        2578 847      1088 860         2614 864    43.0
1050 848        2578 849      1088 860         2614 864    43.0
1051 850        2578 849      1088 860         2614 864    43.0
1051 847        2578 846      1088 860         2614 864    43.0
1050 866        2578 866      1088 860         2614 864    43.0
1129 1036        2655 1037      1112 1072         2636 1074    40.0
1137 1101        2663 1103      1112 1072         2668 1150    40.0
1068 1059        2594 1061      1112 1072         2636 1074    40.0
1140 1036        2666 1037      1112 1072         2636 1074    40.0
1142 1053        2667 1054      1112 1072         2636 1074    40.0
1137 1108        2662 1110      1112 1072         2636 1074    40.0
1126 826        2653 826      1118 772         2642 770    54.0
1144 726        2669 725      1118 772         2642 770    54.0
1169 793        2695 793      1118 772         2642 770    54.0
1153 813        2679 812      1118 772         2642 770    54.0
1155 728        2681 726      1118 772         2642 770    54.0
1147 727        2672 727      1118 772         2642 770    54.0
1131 551        2654 551      1126 512         2648 512    36.0
1122 548        2646 547      1126 512         2648 512    36.0
1097 537        2621 536      1126 512         2648 512    36.0
1157 507        2679 508      1126 512         2648 512    36.0
1154 538        2677 538      1126 512         2648 512    36.0
1143 547        2667 547      1126 512         2648 512    36.0
1146 548        2669 548      1126 512         2648 512    36.0
1092 1116        2618 1118      1144 1142         2636 1074    53.0
1178 1108        2703 1109      1144 1142         2668 1150    53.0
1145 1084        2671 1085      1144 1142         2636 1074    53.0
1143 1191        2667 1193      1144 1142         2668 1150    53.0
1175 1190        2699 1191      1144 1142         2668 1150    53.0
1098 1114        2623 1116      1144 1142         2636 1074    53.0
1136 1199        2139 1183      1144 1142         2148 1138    53.0
1174 1191        2698 1192      1144 1142         2668 1150    53.0
1094 1151        2620 1154      1144 1142         2668 1150    53.0
1090 1155        2615 1157      1144 1142         2668 1150    53.0
1194 1142        2718 1143      1144 1142         2668 1150    53.0
1182 1184        2706 1185      1144 1142         2668 1150    53.0
1178 1108        2703 1109      1144 1142         2668 1150    53.0
1142 868        2668 868      1158 896         2680 892    36.0
1140 860        2666 860      1158 896         2680 892    36.0
1134 870        2660 870      1158 896         2680 892    36.0
1168 858        2694 858      1158 896         2680 892    36.0
1159 611        2684 610      1166 656         2688 656    40.0
1207 671        2731 671      1166 656         2688 656    40.0
1199 644        2723 644      1166 656         2688 656    40.0
1187 696        2713 694      1166 656         2688 656    40.0
1161 693        2686 692      1166 656         2688 656    40.0
1195 689        2721 687      1166 656         2688 656    40.0
1165 1027        2690 1029      1182 1000         2704 990    38.0
1163 524        2677 538      1126 512         2648 512    36.0
