x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
372 937        1891 938      356 996         1872 996    56.0
331 946        1851 947      356 996         1872 996    56.0
354 1047        1874 1048      356 996         1872 996    56.0
336 1044        1857 1046      356 996         1872 996    56.0
338 1047        1858 1049      356 996         1872 996    56.0
379 939        1898 940      356 996         1872 996    56.0
297 990        1817 990      356 996         1872 996    56.0
391 1043        1910 1045      356 996         1872 996    56.0
383 658        1903 657      396 690         1916 688    39.0
361 692        1881 691      396 690         1916 688    39.0
381 730        1900 729      396 690         1916 688    39.0
428 681        1948 679      396 690         1916 688    39.0
391 654        1911 652      396 690         1916 688    39.0
433 697        1953 696      396 690         1916 688    39.0
396 646        1916 645      396 690         1916 688    39.0
443 486        1964 485      450 434         1980 436    48.0
442 383        1965 384      450 434         1980 436    48.0
415 402        1938 403      450 434         1980 436    48.0
425 386        1948 388      450 434         1980 436    48.0
546 1049        2066 1052      518 1078         2038 1080    35.0
516 1109        2036 1112      518 1078         2038 1080    35.0
547 1071        2067 1074      518 1078         2038 1080    35.0
488 1082        2007 1084      518 1078         2038 1080    35.0
513 1040        2032 1042      518 1078         2038 1080    35.0
550 1101        2070 1104      518 1078         2038 1080    35.0
530 1109        2050 1112      518 1078         2038 1080    35.0
534 1107        2053 1111      518 1078         2038 1080    35.0
484 1099        2004 1102      518 1078         2038 1080    35.0
553 1057        2073 1060      518 1078         2038 1080    35.0
547 1091        2067 1094      518 1078         2038 1080    35.0
497 1046        2017 1048      518 1078         2038 1080    35.0
587 855        2107 854      556 820         2074 818    43.0
592 826        2112 825      556 820         2074 818    43.0
515 808        2034 806      556 820         2074 818    43.0
565 856        2085 856      556 820         2074 818    43.0
595 831        2115 830      556 820         2074 818    43.0
569 859        2088 859      556 820         2074 818    43.0
519 835        2039 835      556 820         2074 818    43.0
594 824        2114 823      556 820         2074 818    43.0
517 801        2036 799      556 820         2074 818    43.0
592 811        2113 810      556 820         2074 818    43.0
601 808        2121 806      556 820         2074 818    43.0
585 843        2105 843      556 820         2074 818    43.0
603 825        2123 824      556 820         2074 818    43.0
513 819        2033 818      556 820         2074 818    43.0
537 1003        2057 1005      580 1048         2100 1046    58.0
